BLOCK 200 132
PIZZA 100 132
PIZZA 150 132
HEART 1500 92
HEART 74 592
HEART 658 912
HEART 1490 400
HEART 1100 692
HEART 2204 950

ENEMY 470 540
ENEMY 208 733
ENEMY 1814 475
ENEMY 2254 1050

ENEMY2 2022 666
ENEMY2 2050 90
ENEMY2 1320 1178
ENEMY2 690 794

BLOCK 400 132
PLATFORM 280 336 976 336
PLATFORM 500 132 1300 132
PLATFORM 2306 64 2306 464
PLATFORM 1860 400 1860 1180
PIZZA 406 464
PIZZA 908 513
PIZZA 2482 80
PIZZA 418 84
PIZZA 214 84
PIZZA 728 907
PIZZA 1234 1105
PIZZA 940 1104
PIZZA 1334 656
PIZZA 122 1168
PIZZA 620 656
PIZZA 1254 464
PIZZA 1294 464
